Steps, RayRadius, Sight, MovingSpeed, RandomDirectionValue, Fitness
Steps, RayRadius, Sight, MovingSpeed, RandomDirectionValue, Fitness
22, 16, 31.61517, 4.899052, X:-1 Y:1, 0.1
22, 16, 31.61517, 4.899052, X:-1 Y:-0.4742874, 0.1
22, 16, 33.23034, 4.798103, X:-1 Y:-0.4742874, 0.1
22, 16, 34.84551, 4.697155, X:-1 Y:-0.4742874, 0.1
22, 16, 34.84551, 4.697155, X:-1 Y:-1.948575, 0.1
22, 16, 34.84551, 4.697155, X:-1 Y:-3.422862, 0.1
24, 16, 34.84551, 4.697155, X:-2.658953 Y:-5.10553, 0.1
26, 16, 34.84551, 4.697155, X:-4.317905 Y:-6.788198, 0.1
23, 16, 34.84551, 4.697155, X:-7.051635 Y:-6.788198, 0.1
20, 16, 34.84551, 4.697155, X:-9.785364 Y:-6.788198, 0.1
