Steps, RayRadius, Sight, MovingSpeed, RandomDirectionValue, Fitness
Steps, RayRadius, Sight, MovingSpeed, RandomDirectionValue, Fitness
22, 16, 29.88198, 4.944129, X:-1 Y:-0.3382578, 0.25
22, 16, 29.88198, 4.944129, X:-1 Y:-0.3382578, 0.005
22, 16, 29.76397, 5.888259, X:-1 Y:-1.676516, 0.25
22, 16, 29.76397, 5.888259, X:-1 Y:-1.676516, 0.255
22, 16, 29.76397, 5.888259, X:-1 Y:-1.676516, 0.255
22, 18, 29.76397, 5.888259, X:-0.6948233 Y:-0.437129, 0.01
22, 18, 29.76397, 5.888259, X:-0.6948233 Y:-0.437129, 0.5
22, 18, 29.76397, 5.888259, X:-0.6948233 Y:-0.437129, 0.5
22, 18, 29.76397, 5.888259, X:-0.6948233 Y:-0.437129, 0.25
22, 18, 29.64595, 6.832388, X:-0.6948233 Y:-1.775387, 0.25
